Father_gentotype,Mother_genotype,Males_crossed,Females_crossed,Progeny Inheriting Drive Allele (%),Progeny Inheriting Drive Allele,Progeny Inheriting WT Allele
W118,bam_dCFP/TM6B,1,3,29.39,,
bam_dCFP/TM6B,W118,1,3,72.18,,
bam_dCFP/TM6B,W118,1,3,69.32,,
bam_dCFP/TM6B,W118,1,3,65.28,,
bam_dCFP/TM6B,W118,1,3,62.08,,
bam_dCFP/TM6B,W118,1,3,61.4,,
bam_dCFP/TM6B,W118,1,3,54.49,,
bam_dCFP/TM6B,W118,1,3,54.33,,
bam_dCFP/TM6B,W118,1,3,53.15,,
bam_dCFP/TM6B,W118,1,3,52.64,,
bam_dCFP/TM6B,W118,1,3,52.3,,
bam_dCFP/TM6B,W118,1,3,51.97,,
bam_dCFP/TM6B,W118,1,3,50.11,,
bam_dCFP/TM6B,W118,1,3,50.28,,
bam_dCFP/TM6B,W118,1,3,50.11,,
bam_dCFP/TM6B,W118,1,3,50.45,,
bam_dCFP/TM6B,W118,1,3,49.27,,
bam_dCFP/TM6B,W118,1,3,48.6,,
bam_dCFP/TM6B,W118,1,3,48.09,,
bam_dCFP/TM6B,W118,1,3,46.74,,
bam_dCFP/TM6B,W118,1,3,45.57,,
bam_dCFP/TM6B,W118,1,3,42.2,,
bam_dCFP/TM6B,W118,1,3,41.19,,
bam_dCFP/TM6B,W118,1,3,35.29,,
bam_dCFP/TM6B,W118,1,3,25.01,,
